;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;sub;AG
63;1;5;5;0;0;0;5;3;0;1;1;4;2;0;2;2;6;0;0;2;1;5;2;0;2;1;1;3;1;1;63;older
64;3;0;3;0;5;1;0;2;0;5;4;0;3;0;3;0;0;3;0;5;0;0;1;0;6;0;0;6;0;6;64;older
65;5;2;1;0;0;2;3;4;1;1;2;1;4;0;3;2;1;2;0;3;3;2;3;0;2;2;1;4;0;1;65;older
66;1;3;0;2;8;0;4;0;1;1;1;0;5;0;3;0;0;7;0;3;1;0;4;0;1;4;0;3;0;3;66;older
67;4;0;1;0;1;1;5;5;0;0;3;2;3;0;2;1;4;2;0;3;3;1;2;0;1;3;3;1;1;4;67;older
68;0;2;3;0;0;5;2;2;0;4;2;1;4;1;1;0;4;4;0;3;0;1;6;1;3;1;1;3;1;1;68;older
69;2;1;1;1;4;3;3;3;0;1;2;2;3;0;0;5;1;5;0;1;3;0;3;0;2;3;0;3;0;3;69;older
70;3;4;2;0;0;3;3;2;1;0;1;6;2;0;0;0;6;0;2;0;3;5;3;1;0;0;6;1;0;0;70;older
71;2;5;0;0;3;4;3;0;0;2;1;0;4;0;3;1;1;5;0;2;1;2;5;0;2;2;1;3;1;1;71;older
72;4;3;0;0;1;3;2;4;0;0;0;1;4;0;0;2;2;8;0;3;1;0;8;0;0;0;0;5;0;4;72;older
73;3;3;1;0;0;2;1;6;0;2;2;2;5;0;1;0;0;6;0;3;1;2;3;0;1;3;1;7;0;1;73;older
74;1;8;0;0;0;1;5;2;0;2;0;2;4;0;0;0;3;8;1;1;0;3;3;0;2;2;1;6;0;1;74;older
75;1;3;5;0;0;3;1;3;0;3;3;2;2;0;1;3;3;3;0;2;1;5;1;0;4;0;3;4;0;0;75;older
76;3;2;3;0;2;0;1;5;0;1;5;3;4;0;1;1;2;1;1;1;2;2;7;0;1;1;1;4;0;2;76;older
77;3;1;2;0;1;6;1;4;0;1;2;2;5;0;0;0;3;6;0;1;2;0;3;0;2;0;4;6;1;0;77;older
78;1;4;1;0;0;0;2;5;0;5;1;1;6;0;0;1;1;7;0;3;2;0;4;1;1;2;1;4;1;2;78;older
79;2;5;0;0;2;2;5;1;0;2;1;3;3;0;2;0;2;3;1;3;2;5;4;0;1;0;0;4;1;1;79;older
80;1;3;5;0;0;3;0;3;0;4;1;4;4;0;4;0;3;1;0;1;1;4;5;0;1;2;0;1;1;2;80;older
